Timestamp,TERM_ANA,LM35_0,LM35_1,LM35_2,DS18B20_0,DS18B20_1,DS18B20_2
2025-05-21 09:36:05,789.0,556.0,626.0,20.0,11.44,14.13,16.0
2025-05-21 09:36:07,789.0,556.0,630.0,28.0,11.44,14.06,15.94
2025-05-21 09:36:09,790.0,556.0,624.0,31.0,11.44,14.13,15.94
2025-05-21 09:36:10,788.0,556.0,625.0,26.0,11.44,14.13,15.94
2025-05-21 09:36:12,789.0,556.0,622.0,20.0,11.44,14.13,15.94
2025-05-21 09:36:14,790.0,556.0,629.0,26.0,11.44,14.13,15.94
2025-05-21 09:36:15,791.0,556.0,628.0,24.0,11.38,14.13,15.94
2025-05-21 09:36:17,790.0,556.0,626.0,21.0,11.38,14.13,15.94
2025-05-21 09:36:19,789.0,556.0,628.0,25.0,11.38,14.13,15.94
2025-05-21 09:36:21,790.0,556.0,627.0,25.0,11.38,14.06,15.94
2025-05-21 09:36:22,789.0,556.0,627.0,20.0,11.38,14.06,15.94
2025-05-21 09:36:24,790.0,556.0,624.0,30.0,11.38,14.13,15.94
2025-05-21 09:36:26,788.0,556.0,625.0,22.0,11.44,14.13,15.94
2025-05-21 09:36:27,788.0,556.0,622.0,28.0,11.44,14.13,15.94
2025-05-21 09:36:29,788.0,556.0,625.0,49.0,11.38,14.06,15.94
2025-05-21 09:36:31,788.0,556.0,623.0,26.0,11.44,14.06,15.94
2025-05-21 09:36:32,787.0,556.0,623.0,19.0,11.44,14.13,15.94
2025-05-21 09:36:34,789.0,556.0,623.0,34.0,11.5,14.06,15.94
2025-05-21 09:36:36,790.0,556.0,621.0,23.0,11.44,14.13,15.94
2025-05-21 09:36:37,790.0,556.0,618.0,22.0,11.44,14.13,15.94
2025-05-21 09:36:39,791.0,556.0,621.0,24.0,11.5,14.13,15.94
2025-05-21 09:36:41,790.0,556.0,624.0,25.0,11.44,14.06,15.94
2025-05-21 09:36:43,790.0,556.0,618.0,22.0,11.5,14.06,15.94
2025-05-21 09:36:44,789.0,556.0,617.0,20.0,11.5,14.13,15.94
2025-05-21 09:36:46,788.0,556.0,615.0,21.0,11.5,14.13,15.94
2025-05-21 09:36:48,788.0,556.0,618.0,20.0,11.5,14.13,15.94
2025-05-21 09:36:49,788.0,556.0,617.0,24.0,11.5,14.13,15.94
2025-05-21 09:36:51,789.0,556.0,614.0,24.0,11.56,14.13,15.94
2025-05-21 09:36:53,788.0,556.0,619.0,29.0,11.56,14.13,15.94
2025-05-21 09:36:54,790.0,556.0,616.0,19.0,11.63,14.13,15.94
2025-05-21 09:36:56,790.0,556.0,616.0,27.0,11.56,14.13,15.94
2025-05-21 09:36:58,788.0,556.0,614.0,29.0,11.56,14.06,15.94
2025-05-21 09:36:59,789.0,556.0,615.0,34.0,11.63,14.13,15.94
2025-05-21 09:37:01,788.0,555.0,614.0,43.0,11.63,14.13,15.94
2025-05-21 09:37:03,790.0,556.0,613.0,24.0,11.63,14.06,15.94
2025-05-21 09:37:05,790.0,556.0,615.0,37.0,11.63,14.13,15.94
2025-05-21 09:37:06,790.0,555.0,614.0,19.0,11.63,14.13,15.94
2025-05-21 09:37:08,788.0,556.0,617.0,48.0,11.63,14.13,15.94
2025-05-21 09:37:10,789.0,556.0,614.0,24.0,11.63,14.13,15.94
2025-05-21 09:37:11,791.0,556.0,615.0,27.0,11.63,14.13,15.94
2025-05-21 09:37:13,789.0,556.0,615.0,28.0,11.63,14.13,15.94
2025-05-21 09:37:15,790.0,556.0,614.0,22.0,11.69,14.13,15.94
2025-05-21 09:37:16,787.0,556.0,615.0,19.0,11.69,14.13,15.94
2025-05-21 09:37:18,789.0,556.0,613.0,20.0,11.63,14.13,15.94
2025-05-21 09:37:20,790.0,556.0,613.0,27.0,11.69,14.13,15.94
2025-05-21 09:37:21,787.0,556.0,613.0,49.0,11.69,14.06,15.94
2025-05-21 09:37:23,789.0,556.0,613.0,25.0,11.63,14.13,15.94
2025-05-21 09:37:25,789.0,556.0,619.0,32.0,11.69,14.13,15.94
2025-05-21 09:37:26,789.0,556.0,616.0,47.0,11.69,14.13,15.94
2025-05-21 09:37:28,787.0,556.0,619.0,51.0,11.69,14.13,15.94
2025-05-21 09:37:30,789.0,556.0,618.0,21.0,11.69,14.06,15.94
2025-05-21 09:37:32,789.0,556.0,625.0,22.0,11.69,14.13,15.94
2025-05-21 09:37:33,789.0,556.0,614.0,21.0,11.69,14.06,15.94
2025-05-21 09:37:35,789.0,556.0,622.0,29.0,11.69,14.13,15.94
2025-05-21 09:37:37,789.0,556.0,613.0,22.0,11.69,14.13,15.94
2025-05-21 09:37:38,788.0,556.0,614.0,25.0,11.69,14.13,15.94
2025-05-21 09:37:40,788.0,556.0,615.0,21.0,11.69,14.13,15.94
2025-05-21 09:37:42,790.0,556.0,617.0,28.0,11.63,14.06,15.94
2025-05-21 09:37:43,790.0,556.0,609.0,20.0,11.69,14.13,15.94
2025-05-21 09:37:45,788.0,556.0,622.0,51.0,11.69,14.13,15.94
2025-05-21 09:37:47,791.0,556.0,615.0,24.0,11.69,14.13,15.94
2025-05-21 09:37:48,791.0,556.0,615.0,29.0,11.69,14.13,15.94
2025-05-21 09:37:50,790.0,556.0,615.0,42.0,11.69,14.13,15.94
2025-05-21 09:37:52,789.0,556.0,614.0,26.0,11.69,14.13,15.94
2025-05-21 09:37:54,788.0,556.0,613.0,27.0,11.69,14.13,15.94
2025-05-21 09:37:55,787.0,556.0,613.0,29.0,11.69,14.13,15.94
2025-05-21 09:37:57,789.0,556.0,607.0,30.0,11.75,14.13,15.94
2025-05-21 09:37:59,789.0,556.0,622.0,24.0,11.75,14.13,15.94
